recode,variable_name,from_system,from_code,from_label,to_system,to_code,to_label,notes,review_flag,domain
FALSE,race_summary_code,BEDROCK,30,White and Black and American Indian/Alaska Native,WHALES,30,White and Black and American Indian/Alaska Native,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,31,White and Black and Asian,WHALES,31,White and Black and Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,32,White and Black and Native Hawaiian or Pacific Islander,WHALES,32,White and Black and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,33,White and American Indian/Alaska Native and Asian,WHALES,33,White and American Indian/Alaska Native and Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,34,White and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,WHALES,34,White and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,35,White and Asian and Native Hawaiian or Pacific Islander,WHALES,35,White and Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,36,Black and American Indian/Alaska Native and Asian,WHALES,36,Black and American Indian/Alaska Native and Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,37,Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,WHALES,37,Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,38,Black and Asian and Native Hawaiian or Pacific Islander,WHALES,38,Black and Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,39,American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,WHALES,39,American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,40,White and Black and American Indian/Alaska Native and Asian,WHALES,40,White and Black and American Indian/Alaska Native and Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,41,White and Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,WHALES,41,White and Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,42,White and Black and Asian and Native Hawaiian or Pacific Islander,WHALES,42,White and Black and Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,43,White and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,WHALES,43,White and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,44,Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,WHALES,44,Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
