start_year,end_year,code,label,city,state,notes,review_flag
1980,2026,1109,Kramer Funeral Home,Tekoa,WA,,FALSE
1980,2026,1110,Kitsap Cremation & Burial Society,Port Orchard,WA,,FALSE
1980,2026,1112,Klontz Funeral Home,Auburn,WA,,FALSE
1980,2026,1201,Langevin El Paraiso Funeral Home,Yakima,WA,,FALSE
1980,2026,1202,Lauer Funeral Home,Deer Park,WA,,FALSE
1980,2026,1203,Layne's Funeral Home Inc,Battle Ground,WA,,FALSE
1980,2026,1204,Lemley Chapel,Sedro Woolley,WA,,FALSE
1980,2026,1205,Lewis Funeral Chapel ,Bremerton,WA,,FALSE
1980,2026,1209,Moles Farewell Tributes - Lynden,Lynden,WA,,FALSE
1980,2026,1211,Linde-Price Funeral Service,Sequim,WA,,FALSE
1980,2026,1212,Life Tributes Cremation Center,Kennewick,WA,,FALSE
1980,2026,1213,Legacy Memorial Funeral Home,Omak,WA,,FALSE
1980,2026,1218,Lake Washington Institute of Technology,Kirkland,WA,,FALSE
1980,2026,1301,Marlatt Funeral Home ,Kent,WA,,FALSE
1980,2026,1302,McComb & Wagner Funeral Home and Crematory,Shelton,WA,,FALSE
1980,2026,1305,Evergreen Memorial Gardens Funeral Chapel,Vancouver,WA,,FALSE
1980,2026,1306,Merchant Richardson Brown Funeral Homes LLC,Clarkston,WA,,FALSE
1980,2026,1307,Valley Hills Funeral Home of Wapato,Wapato,WA,,FALSE
1980,2026,1309,Miller-Woodlawn Funeral Home,Bremerton,WA,,FALSE
1980,2026,1310,Mills and Mills Funeral Home,Tumwater,WA,,FALSE
1980,2026,1311,Moles Farewell Tributes - Ferndale ,Ferndale,WA,,FALSE
1980,2026,1313,Brown Mortuary Service,Morton,WA,,FALSE
1980,2026,1315,Mountain View Funeral Chapel Inc,Walla Walla,WA,,FALSE
1980,2026,1316,Mountain View Funeral Home,Lakewood,WA,,FALSE
1980,2026,1318,Mueller's Tri-Cities Funeral Home,Kennewick,WA,,FALSE
1980,2026,1319,Stevens Funeral Chapel,Othello,WA,,FALSE
1980,2026,1331,Mt Baker Cremation Society,Bellingham,WA,,FALSE
1980,2026,1334,Moles Farewell Tributes - Bellingham,Bellingham,WA,,FALSE
1980,2026,1335,M B Daniel Mortuary Services LLC,Renton,WA,,FALSE
1980,2026,1402,New Tacoma Cemeteries & Funeral Home,University Place,WA,,FALSE
1980,2026,1403,Newell-Hoerling's Mortuary,Centralia,WA,,FALSE
1980,2026,1404,Nicoles Funeral Home,Ephrata,WA,,FALSE
1980,2026,1405,Neptune Society - Spokane,Spokane,WA,,FALSE
1980,2026,1406,Neptune Society - Lynnwood,Lynnwood,WA,,FALSE
1980,2026,1408,Northwood Park Funeral Home,Ridgefield,WA,,FALSE
1980,2026,1411,Neptune Society - Pierce,Tacoma,WA,,FALSE
1980,2026,1412,NW Best,Renton,WA,,FALSE
1980,2026,1501,Oakwood Hill Funeral Chapel & Cemetery,Tacoma,WA,,FALSE
1980,2026,1504,Olympic Cremation Association,Port Angeles,WA,,FALSE
1980,2026,1505,Personal Alternative Funeral Services,Kent,WA,,FALSE
1980,2026,1601,Pendleton-Gilchrist Funeral Home,Port Orchard,WA,"In the WA DOH CHS Data Dictionary, this funeral home is duplicated (with a slight name change/addition of ""Inc""). Deduplicating down to 1 row for this code.",TRUE
1980,2026,1602,Penttila's Chapel by the Sea,Long Beach,WA,,FALSE
1980,2026,1603,"Piper Morley Funeral Home, LLC",Lakewood,WA,,FALSE
1980,2026,1604,Prosser Funeral Home,Prosser,WA,,FALSE
1980,2026,1605,Powers Funeral Home,Puyallup,WA,,FALSE
1980,2026,1607,Sumner Voiles Funeral Chapel,Sumner,WA,,FALSE
1980,2026,1608,Precht Rose Chapel,Chelan,WA,,FALSE
1980,2026,1609,Precht-Harrison-Nearents Chapel,Okanogan,WA,,FALSE
