code,label,city,state,notes,review_flag
2321,Whidbey Memorial Funeral & Cremation Service Inc,Oak Harbor,WA,,FALSE
2322,Wallin-Stucky Funeral Home,Oak Harbor,WA,,FALSE
2501,Yahn & Son Funeral Home and Crematory,Auburn,WA,,FALSE
3025,Cheney Funeral Chapel,Cheney,WA,,FALSE
3028,Columbia Memorial Chapel,Pasco,WA,,FALSE
3040,Columbia Hills Memorial Chapel,Goldendale,WA,,FALSE
3153,Visser Funeral Home,Langley,WA,,FALSE
3195,Johnston & Williams Funeral Home and Crematory,Ellensburg,WA,,FALSE
3199,Mueller's Chapel of the Falls,Kennewick,WA,,FALSE
3203,Luray Mortuary Services,Tacoma ,WA,,FALSE
3204,San Juan County Prosecutors/Coroner Office Acting As Funeral Home,Friday Harbor,WA,,FALSE
3205,"Town and Country Transport Group, Inc.",Spokane,WA,,FALSE
3206,Inland Mortuary Services,Spokane,WA,,FALSE
3207,Pacific Mortuary Services,Pacific,WA,,FALSE
3207,Advantage Funeral & Cremation Services South Hill,Spokane,WA,,FALSE
3207,Wallin-Stucky Funeral Home Freeland,Freeland,WA,,FALSE
3208,ezCremate.com,Tri-Cities,WA,,FALSE
3208,Thurston County Coroner Acting As  Funeral Home,Tumwater,WA,,FALSE
3209,Clark County Crematory,Vancouver,WA,,FALSE
3211,Heavenly Memorials,Kent,WA,,FALSE
3212,Premier Mortuary Service,Everett,WA,,FALSE
3213,A Life Remembered,Tacoma,WA,,FALSE
3214,Western Cremation Alliance,Seattle,WA,,FALSE
3215,Tulip Cremation,Seattle,WA,,FALSE
3217,Simplicity Cremation ,Poulsbo,WA,,FALSE
3218,Scanlin Cremation and Burial,UNIVERSITY PLACE,WA,,FALSE
3219,Hospital Acting As a Funeral Home,Tumwater ,WA,,FALSE
3220,Tulip Cremation,Federal Way,WA,,FALSE
3221,"Recompose, PBC",Seattle,WA,,FALSE
3222,Cremation Plus,Puyallup,WA,,FALSE
3223,All County Cremation and Burial Service,Everett,WA,,FALSE
3224,Dignified Assurance Plannng,Spokane Valley,WA,,FALSE
4000,Attrell's Funeral Chapels,Newberg,OR,,FALSE
4001,Bateman Carroll Funeral Home,Gresham,OR,,FALSE
4002,Burns Mortuary of Pendleton,Pendleton,OR,,FALSE
4003,"Caldwell's, Hennessey, Goetsch & McGee Funeral Home",Portland,OR,,FALSE
4004,Gateway Little Chapel of the Chimes,Portland,OR,,FALSE
4006,Finley - Sunset Hills Mortuary,Portland,OR,,FALSE
4008,Heritage Memorial,Portland,OR,,FALSE
4009,Holman's Funeral & Cremation Service,Portland,OR,,FALSE
4012,Omega Funeral & Cremation Service,Portland,OR,,FALSE
4015,Zeller Chapel of Roses,Portland,OR,,FALSE
4016,Munselle-Rhodes Funeral Home,Milton-Freewater,OR,,FALSE
4022,"Crown Memorial Center, Cremation & Burial - Portland",Portland,OR,,FALSE
4024,Caldwell's Luce-Layton Mortuary,Astoria,OR,,FALSE
4027,Macy and Son Funeral Directors,McMinnville,OR,,FALSE
4030,Sandy Funeral Home,Sandy,OR,,FALSE
4033,Burns Mortuary of Hermiston,Hermiston ,OR,,FALSE
4036,Skyline Memorial Gardens Funeral Home,Portland,OR,,FALSE
4037,Pegg Paxson and Springer Funeral Chapel,Beavertron,OR,,FALSE
4041,Pendleton Pioneer Chapel Folsom-Bishop,Pendleton,OR,,FALSE
4042,Anderson's Tribute Center,Hood River,OR,,FALSE
4047,Rose City Cemetery and Funeral Home,Portland,OR,,FALSE
4049,Groulx Family Mortuary,Rainier,OR,,FALSE
4051,Hughes-Ransom Cremation and Mortuaries,Astoria,OR,,FALSE
4052,Lincoln Memorial Park & Funeral Home,Portland,OR,,FALSE
4054,Mt. Scott Funeral Home,Portland,OR,,FALSE
4057,"Ross Hollywood Chapel, Killingsworth St John's Lombard Little Chapel of the Chimes",Portland,OR,,FALSE
4058,"Spencer, Libby and Powell Funeral Home",The Dalles ,OR,,FALSE
4060,Sunnyside Little Chapel of the Chimes,Happy Valley ,OR,,FALSE
4072,Riverview Abbey Funeral Home,Portland,OR,,FALSE
4078,"Fuiten, Rose & Hoyt Funeral Home",Forest Grove,OR,,FALSE
4079,Keizer Funeral Chapel,Keizer,OR,,FALSE
4087,Stehn Family Funeral Homes,Milwaukie,OR,,FALSE
4089,Peake Funeral Chapel ,Milwaukie,OR,,FALSE
4093,Estacada Funeral Chapel,Estacada,OR,,FALSE
4099,Oregon Cremation Company,Happy Valley,OR,,FALSE
4101,"Autumn Funerals, Cremation and Burial",Tigard,OR,,FALSE
4102,"Crown Memorial Center, Cremation & Burial - Milwaukie",Milwaukie,OR,,FALSE
4103,Neptune Cremation Service,Happy Valley,OR,,FALSE
4105,Valley Memorial Park Funeral Home,Hillsboro,OR,,FALSE
4106,First Call Mortuary Services,Portland,OR,,FALSE
4108,City View Funeral Home,Salem,OR,,FALSE
4109,Tami's Pine Valley Funeral Home,Halfway,OR,,FALSE
4110,Eternal Hills Memorial Gardens & Funeral Home,Klamath Falls,OR,,FALSE
4111,Klamath Tribute Center,Klamath Falls,OR,,FALSE
4112,Portland Cremation Center LLC.,Portland,OR,,FALSE
4113,"Crown Memorial Center, Cremation & Burial  - Tualatin",Tualatin,OR,,FALSE
4114,Alternative Burial & Cremation,Tualatin,OR,,FALSE
4115,Cascade Decedent Care,Tualatin,OR,,FALSE
4116,Gresham Memorial Chapel,Gresham,OR,,FALSE
4118,McHenry Funeral Home,Corvallis,OR,,FALSE
4119,Care Cremation Service,Gresham,OR,,FALSE
4120,National Cremation Service,Tigard,OR,,FALSE
4121,Aftercare Cremation and Burial Service,Gresham,OR,,FALSE
4122,Family Memorial Mortuary,Gresham,OR,,FALSE
4123,Hughes-Ransom Cremation and Mortuary,Seaside,OR,,FALSE
4130,Canby Funeral Chapel,Canby,OR,,FALSE
4131,Hillside Chapel,Oregon City,OR,,FALSE
4132,Columbia Funeral Home - Oregon,St Helens,OR,,FALSE
4133,Portland Mortuary Services,Portland,OR,,FALSE
4134,Molalla Funeral Chapel,Molalla,OR,,FALSE
4135,Donelson Funeral Chapel & Cremation Services,Hillsboro,OR,,FALSE
4136,"Threadgill's Memorial Services, LLC",Beaverton,OR,,FALSE
4137,Hustad Funeral Home,Portland,OR,,FALSE
4138,Springer and Son Aloha Funeral Home,,WA,,FALSE
4138,Affordable Funeral Alternatives,Gresham,OR,,FALSE
4139,Springer and Son Aloha Funeral Home,Aloha,OR,,FALSE
4140,Gray's West & Co. Pioneer Chapel,Baker City,OR,,FALSE
4141,Coles Tribute Center,Baker City,OR,,FALSE
4142,Driskill Memorial Chapel,John Day,OR,,FALSE
4143,River View Cemetery Funeral Home,Portland,OR,,FALSE
4144,Young's Funeral Home,Tigard,OR,,FALSE
4145,Simon - Cornwell Colonial Chapel,Woodburn,OR,,FALSE
4145,Adamson's Sheridan Funeral Home,Sheridan,OR,,FALSE
4146,Cornwell Colonial Chapel,Wilsonville,OR,,FALSE
4147,"Crown Memorial Center, Cremation & Burial - Salem",Salem,OR,,FALSE
4147,Restlawn Funeral Home,Salem,OR,,FALSE
4148,Cornerstone Funeral Services,Boring,OR,,FALSE
4149,Westside Cremation and Burial Service,Beaverton,OR,,FALSE
4149,"Crown Memorial Center, Cremation & Burial - Eastside",Portland,OR,,FALSE
4150,Tualatin Valley Funeral Alternatives,Hillsboro,OR,,FALSE
4150,Portland Funeral Service,Portland,OR,,FALSE
4151,"Crown Memorial Center, Cremation & Burial - Tigard",Tigard,OR,,FALSE
4152,Weddle Funeral Service,Stayton,OR,,FALSE
4153,Advantage Funeral and Cremation Services Gateway,Portland,OR,,FALSE
4154,Virgil T Golden Funeral Service,Salem,OR,,FALSE
4155,"Solace Cremation, LLC",Portland,OR,,FALSE
4156,Terry Family Funeral Home,Portland,OR,,FALSE
4157,Howell Edwards Doerksen with Rigdon-Ransom Funeral Directors,Salem,OR,,FALSE
4158,Discount Cremation of Portland,Portland,OR,,FALSE
4159,Wherity Family Funerals & Cremations,Beaverton,OR,,FALSE
4159,Wilson's Chapel of the Roses,Roseburg,OR,,FALSE
6002,Shoshone Funeral Service,Kellogg,ID,,FALSE
6003,Malcom's Brower-Wann Funeral Home,Lewiston,ID,,FALSE
6004,Vassar-Rawls Funeral Home,Lewiston,ID,,FALSE
6005,Mountain View Funeral Home,Lewiston,ID,,FALSE
6006,English Funeral Chapel - Post Falls,Post Falls,ID,,FALSE
6007,Short's Funeral Chapel,Moscow,ID,,FALSE
6008,"Bonners Ferry Funeral Home, Inc",Bonners Ferry,ID,,FALSE
6009,English Funeral Chapel - Coeur d'Alene,Coeur D'Alene,ID,,FALSE
6010,Uhlorn Funeral Home,Cottonwood,ID,,FALSE
6011,Pine HIlls Funeral Chapel & Crematory,Orofino,ID,,FALSE
6015,Trenary Funeral Home,Kooskia,ID,,FALSE
6016,Yates Funeral Home,Coeur D'Alene,ID,,FALSE
6017,Hodge Funeral Home ,St. Maries,ID,,FALSE
6024,Blackmer Funeral Home,Grangeville,ID,,FALSE
6026,Haren-Wood Funeral Chapel,Payette,ID,,FALSE
6030,Bell Tower Funeral Home,Post Falls,ID,,FALSE
6031,Lakeview Funeral Home,Sandpoint,ID,,FALSE
6032,Heikkila Funeral Chapel,McCall,ID,,FALSE
6033,Zeyer Funeral Chapel,Nampa,ID,,FALSE
